country,city
GERMANY,ALTSTADT
ITALY,LENNA
ITALY,MASCALI
FRANCE,LANTOSQUE
FRANCE,VALLAURIS
GREECE,ARTA
ITALY,SENIGALLIA
FRANCE,NYER
SPAIN,BARCELONA
CZECH REPUBLIC,TACHOV
ITALY,AULLA
FRANCE,DRAGUIGNAN
SPAIN,SANT BOI DE LLOBREGAT
TURKEY,ARDAHAN
SPAIN,PUIGPUNYENT
ITALY,CERIANO LAGHETTO
ITALY,PAGO VEIANO
PORTUGAL,ARGANIL
ITALY,CICERALE
GERMANY,LENGGRIES
FRANCE,BOLLENE
ITALY,CASTIADAS
PORTUGAL,SINTRA
FRANCE,BAGNOLS EN FORET
ITALY,CAPRIATA D'ORBA
FRANCE,MAGALAS
CZECH REPUBLIC,LICHNOV
TURKEY,KEBAN
SPAIN,SANT JOAN DE LABRITJA
ITALY,FILATTIERA
ITALY,CAMPO NELL'ELBA
FRANCE,FONS
UNITED KINGDOM,EDEN
ITALY,COSSOGNO
SPAIN,ALELLA
TURKEY,BANDIRMA
TURKEY,HAYRABOLU
ITALY,SAN MARCO IN LAMIS
TURKEY,TORBALI
SPAIN,VILAPLANA
FRANCE,MOUGINS
FRANCE,MONTAGNAC
ITALY,ALBANELLA
ITALY,SAN VINCENZO
ITALY,MASSAFRA
CZECH REPUBLIC,OLBRAMOVICE
CZECH REPUBLIC,VIZOVICE
ITALY,PEGLI
GERMANY,ROSENHEIM
ITALY,BARRAFRANCA
TURKEY,SAVUR
TURKEY,ACIPAYAM
ITALY,SAN MINIATO
GERMANY,SIMBACH
ITALY,MANZANO
FRANCE,ALES
ITALY,BREMBATE
CZECH REPUBLIC,LOMNICE
TURKEY,ZONGULDAK
UNITED KINGDOM,LEWISHAM
ITALY,RONCO CANAVESE
TURKEY,POLATLI
UNITED KINGDOM,HIGH PEAK
FRANCE,MONTFRIN
ITALY,BARBERINO DI MUGELLO
UNITED KINGDOM,SHEFFIELD
FRANCE,POLLESTRES
FRANCE,NEFIACH
ITALY,GRANITI
PORTUGAL,ARCOS DE VALDEVEZ
ITALY,TAURIANOVA
TURKEY,HOPA
GERMANY,PIRNA
ITALY,PONTE BUGGIANESE
FRANCE,PERPIGNAN
CZECH REPUBLIC,LHOTA
ITALY,OVADA
GERMANY,REGENSBURG
TURKEY,HORASAN
FRANCE,ROUSSON
FRANCE,OCTON
GERMANY,RIESA
ITALY,MONTECHIARUGOLO
TURKEY,BODRUM
TURKEY,DEREPAZARI
ITALY,OLBIA
UNITED KINGDOM,WARWICK
ITALY,CALATABIANO
ITALY,VILLA BASILICA
ITALY,SAVONA
ITALY,SAN GILLIO
TURKEY,ARAKLI
ITALY,GIOIA TAURO
CZECH REPUBLIC,PROSENICE
GERMANY,DIRLEWANG
ITALY,REGALBUTO
FRANCE,GERVANS
GERMANY,DRESDEN
SPAIN,LLOSETA
FRANCE,VILLETELLE
FRANCE,BELLEGARDE
FRANCE,SIGNES
GERMANY,DURACH
FRANCE,FELINES TERMENES
ITALY,BRESCELLO
GERMANY,GARMISCH-PARTENKIRCHEN
ITALY,CARRARA
CZECH REPUBLIC,ROZTOKY
SPAIN,CORBERA DE LLOBREGAT
ITALY,MOSCAZZANO
PORTUGAL,MAIA
TURKEY,DALAMAN
UNITED KINGDOM,WREXHAM
TURKEY,POZANTI
ITALY,BAGNARA CALABRA
CZECH REPUBLIC,TURNOV
ITALY,ASSEMINI
FRANCE,LA GARDE
TURKEY,PALU
ITALY,MURAVERA
CZECH REPUBLIC,PUTIM
FRANCE,MONTELIMAR
ITALY,GINOSA
FRANCE,LABEAUME
FRANCE,TENDE
TURKEY,ARICAK
TURKEY,BAYAT
TURKEY,KEMER
TURKEY,FEKE
TURKEY,KORKUT
ITALY,PALESTRO
ITALY,CENGIO
FRANCE,PEYREMALE
ITALY,AREZZO
FRANCE,BIOT
CZECH REPUBLIC,JABLONEC NAD JIZEROU
TURKEY,HINIS
ITALY,CHAMBAVE
PORTUGAL,MARCO DE CANAVESES
ITALY,PRATO
FRANCE,LUNAS
SPAIN,AGRAMUNT
GERMANY,HOF
TURKEY,GERGER
FRANCE,DIONS
ITALY,STELLANELLO
UNITED KINGDOM,WALSALL
PORTUGAL,PORTO
UNITED KINGDOM,WALTHAM FOREST
CZECH REPUBLIC,OLOMOUC
UNITED KINGDOM,CARLISLE
ITALY,PRATO ALLO STELVIO
ITALY,CASTELDACCIA
GERMANY,POXDORF
PORTUGAL,ODIVELAS
TURKEY,MUT
TURKEY,MENEMEN
TURKEY,TUNCELI
SPAIN,CABRILS
ITALY,CIVATE
FRANCE,REMOULINS
ITALY,PIGNOLA
UNITED KINGDOM,HARROGATE
ITALY,SESTU
GERMANY,ARTERN
FRANCE,VILLEGAILHENC
ITALY,AVOLA
FRANCE,CASTAGNIERS
TURKEY,TUTAK
TURKEY,RIZE
ITALY,REFRONTOLO
ITALY,VADO LIGURE
TURKEY,HAMUR
GERMANY,CALDEN
ITALY,ALASSIO
TURKEY,ALANYA
GERMANY,GELTENDORF
GERMANY,JULBACH
FRANCE,LAROQUE DES ALBERES
SPAIN,CANET DE MAR
PORTUGAL,SEIA
SPAIN,PERALADA
TURKEY,OSMANCIK
GERMANY,WEIHENZELL
ITALY,MOSCUFO
ITALY,SIRACUSA
ITALY,SAN SEVERO
ITALY,CAMPI BISENZIO
ITALY,CORLEONE
CZECH REPUBLIC,NESOVICE
TURKEY,EMET
ITALY,STURLA
ITALY,QUARRATA
ITALY,NISCEMI
PORTUGAL,GUARDA
ITALY,NOTO
FRANCE,VILLENEUVE DE LA RAHO
ITALY,GATTEO
TURKEY,KOZLU
